1,0,0,1,Granada,Zaragoza
2,3,1,1,Barcelona,Dptivo. Coruna
3,1,3,1,At. Madrid,Valencia
4,2,1,1,Las Palmas,Oviedo
5,1,0,1,Sporting Gijon,Betis
6,2,3,1,Castellon,Real Madrid
7,1,1,1,Celta,Espanyol
8,0,0,1,Malaga (C.D.),Ath. Bilbao
9,1,0,1,Burgos,Real Sociedad
10,2,0,2,Zaragoza,Burgos
11,0,0,2,Dptivo. Coruna,Granada
12,0,1,2,Valencia,Barcelona
13,0,2,2,Oviedo,At. Madrid
14,0,2,2,Betis,Las Palmas
15,1,0,2,Real Madrid,Sporting Gijon
16,1,0,2,Espanyol,Castellon
17,1,1,2,Ath. Bilbao,Celta
18,1,1,2,Real Sociedad,Malaga (C.D.)
19,5,0,3,Zaragoza,Dptivo. Coruna
20,1,1,3,Granada,Valencia
21,3,1,3,Barcelona,Oviedo
22,2,1,3,At. Madrid,Betis
23,1,1,3,Las Palmas,Real Madrid
24,0,0,3,Sporting Gijon,Espanyol
25,1,4,3,Castellon,Ath. Bilbao
26,0,1,3,Celta,Real Sociedad
27,2,2,3,Burgos,Malaga (C.D.)
28,2,1,4,Dptivo. Coruna,Burgos
29,0,0,4,Valencia,Zaragoza
30,3,0,4,Oviedo,Granada
31,0,2,4,Betis,Barcelona
32,0,1,4,Real Madrid,At. Madrid
33,4,0,4,Espanyol,Las Palmas
34,2,0,4,Ath. Bilbao,Sporting Gijon
35,0,0,4,Real Sociedad,Castellon
36,1,0,4,Malaga (C.D.),Celta
37,1,1,5,Dptivo. Coruna,Valencia
38,3,0,5,Zaragoza,Oviedo
39,0,0,5,Granada,Betis
40,1,0,5,Barcelona,Real Madrid
41,0,0,5,At. Madrid,Espanyol
42,1,0,5,Las Palmas,Ath. Bilbao
43,3,0,5,Sporting Gijon,Real Sociedad
44,1,0,5,Castellon,Malaga (C.D.)
45,0,0,5,Burgos,Celta
46,3,0,6,Valencia,Burgos
47,0,0,6,Oviedo,Dptivo. Coruna
48,1,1,6,Betis,Zaragoza
49,2,1,6,Real Madrid,Granada
50,1,1,6,Espanyol,Barcelona
51,1,0,6,Ath. Bilbao,At. Madrid
52,1,0,6,Real Sociedad,Las Palmas
53,1,0,6,Malaga (C.D.),Sporting Gijon
54,2,0,6,Celta,Castellon
55,2,2,7,Valencia,Oviedo
56,2,0,7,Dptivo. Coruna,Betis
57,0,0,7,Zaragoza,Real Madrid
58,2,2,7,Granada,Espanyol
59,1,0,7,Barcelona,Ath. Bilbao
60,2,1,7,At. Madrid,Real Sociedad
61,1,3,7,Las Palmas,Malaga (C.D.)
62,3,1,7,Sporting Gijon,Celta
63,2,1,7,Burgos,Castellon
64,1,0,8,Oviedo,Burgos
65,0,0,8,Betis,Valencia
66,0,0,8,Real Madrid,Dptivo. Coruna
67,3,1,8,Espanyol,Zaragoza
68,0,1,8,Ath. Bilbao,Granada
69,2,0,8,Real Sociedad,Barcelona
70,0,1,8,Malaga (C.D.),At. Madrid
71,3,1,8,Celta,Las Palmas
72,1,0,8,Castellon,Sporting Gijon
73,0,0,9,Oviedo,Betis
74,0,1,9,Valencia,Real Madrid
75,0,0,9,Dptivo. Coruna,Espanyol
76,3,2,9,Zaragoza,Ath. Bilbao
77,2,0,9,Granada,Real Sociedad
78,0,0,9,Barcelona,Malaga (C.D.)
79,5,1,9,At. Madrid,Celta
80,0,1,9,Las Palmas,Castellon
81,2,1,9,Burgos,Sporting Gijon
82,5,1,10,Betis,Burgos
83,3,0,10,Real Madrid,Oviedo
84,3,0,10,Espanyol,Valencia
85,3,0,10,Ath. Bilbao,Dptivo. Coruna
86,3,0,10,Real Sociedad,Zaragoza
87,3,0,10,Malaga (C.D.),Granada
