1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,1,2
36,2,2
37,3,2
38,4,2
39,5,2
40,6,2
41,7,2
42,8,2
43,9,2
44,10,2
45,11,2
46,12,2
47,13,2
48,14,2
49,15,2
50,16,2
51,17,2
52,18,2
53,19,2
54,20,2
55,21,2
56,22,2
57,23,2
58,24,2
59,25,2
60,26,2
61,27,2
62,28,2
63,29,2
64,30,2
65,31,2
66,32,2
67,33,2
68,34,2
69,35,2
70,36,2
71,37,2
72,38,2
73,1,3
74,2,3
75,3,3
76,4,3
77,5,3
78,6,3
79,7,3
80,8,3
81,9,3
82,10,3
83,11,3
84,12,3
85,13,3
86,14,3
87,15,3
88,16,3
89,17,3
90,18,3
91,19,3
92,20,3
93,21,3
94,22,3
95,23,3
96,24,3
97,25,3
98,26,3
99,27,3
100,28,3
101,29,3
102,30,3
103,31,3
104,32,3
105,33,3
106,34,3
107,1,4
108,2,4
109,3,4
110,4,4
111,5,4
112,6,4
113,7,4
114,8,4
115,9,4
116,10,4
117,11,4
118,12,4
119,13,4
120,14,4
121,15,4
122,16,4
123,17,4
124,18,4
125,19,4
126,20,4
127,21,4
128,22,4
129,23,4
130,24,4
131,25,4
132,26,4
133,27,4
134,28,4
135,29,4
136,30,4
137,31,4
138,32,4
139,33,4
140,34,4
141,35,4
142,36,4
143,37,4
144,38,4
145,1,5
146,2,5
147,3,5
148,4,5
149,5,5
150,6,5
151,7,5
152,8,5
153,9,5
154,10,5
155,11,5
156,12,5
157,13,5
158,14,5
159,15,5
160,16,5
161,17,5
162,18,5
163,19,5
164,20,5
165,21,5
166,22,5
167,23,5
168,24,5
169,25,5
170,26,5
171,27,5
172,28,5
173,29,5
174,30,5
175,31,5
176,32,5
177,33,5
178,34,5
179,1,6
180,2,6
181,3,6
182,4,6
183,5,6
184,6,6
185,7,6
186,8,6
187,9,6
188,10,6
189,11,6
190,12,6
191,13,6
192,14,6
193,15,6
194,16,6
195,17,6
196,18,6
197,19,6
198,20,6
199,21,6
200,22,6
201,23,6
202,24,6
203,25,6
204,26,6
205,27,6
206,28,6
207,29,6
208,30,6
209,31,6
210,32,6
211,33,6
212,34,6
213,35,6
214,36,6
215,37,6
216,38,6
217,1,7
218,2,7
219,3,7
220,4,7
221,5,7
222,6,7
223,7,7
224,8,7
225,9,7
226,10,7
227,11,7
228,12,7
229,13,7
230,14,7
231,15,7
232,16,7
233,17,7
234,18,7
235,19,7
236,20,7
237,21,7
238,22,7
239,23,7
240,24,7
241,25,7
242,26,7
243,27,7
244,28,7
245,29,7
246,30,7
247,31,7
248,32,7
249,33,7
250,34,7
251,1,8
252,2,8
253,3,8
254,4,8
255,5,8
256,6,8
257,7,8
258,8,8
259,9,8
260,10,8
261,11,8
262,12,8
263,13,8
264,14,8
265,15,8
266,16,8
267,17,8
268,18,8
269,19,8
270,20,8
271,21,8
272,22,8
273,23,8
274,24,8
275,25,8
276,26,8
277,27,8
278,28,8
279,29,8
280,30,8
281,31,8
282,32,8
283,33,8
284,34,8
285,35,8
286,36,8
287,37,8
288,38,8
289,1,9
290,2,9
291,3,9
292,4,9
293,5,9
294,6,9
295,7,9
296,8,9
297,9,9
298,10,9
299,11,9
300,12,9
301,13,9
302,14,9
303,15,9
304,16,9
305,17,9
306,18,9
307,19,9
308,20,9
309,21,9
310,22,9
311,23,9
312,24,9
313,25,9
314,26,9
315,27,9
316,28,9
317,29,9
318,30,9
319,31,9
320,32,9
321,33,9
322,34,9
323,1,10
324,2,10
325,3,10
326,4,10
327,5,10
328,6,10
329,7,10
330,8,10
331,9,10
332,10,10
333,11,10
334,12,10
335,13,10
336,14,10
337,15,10
338,16,10
339,17,10
340,18,10
341,19,10
342,20,10
343,21,10
344,22,10
345,23,10
346,24,10
347,25,10
348,26,10
349,27,10
350,28,10
351,29,10
352,30,10
353,31,10
354,32,10
355,33,10
356,34,10
357,35,10
358,36,10
359,37,10
360,38,10
361,1,11
362,2,11
363,3,11
364,4,11
365,5,11
366,6,11
367,7,11
368,8,11
369,9,11
370,10,11
371,11,11
372,12,11
373,13,11
374,14,11
375,15,11
376,16,11
377,17,11
378,18,11
379,19,11
380,20,11
381,21,11
382,22,11
383,23,11
384,24,11
385,25,11
386,26,11
387,27,11
388,28,11
389,29,11
390,30,11
391,31,11
392,32,11
393,33,11
394,34,11
395,1,12
396,2,12
397,3,12
398,4,12
399,5,12
400,6,12
401,7,12
402,8,12
403,9,12
404,10,12
405,11,12
